,title,book_id,author,publisher,price,review_cnt,review_score,pub_year,country
10058,나일강의 연가 1,874285,민은아,환상미디어,"8,100",1,3, 2007년 1월,한국
10059,기적 불 때,635888,김정진,종합출판범우,"16,200",null,null, 2006년 2월,한국
10061,겨울 선인장,570633,권채운,문이당,"8,550",null,null, 2005년 6월,한국
10063,소설 김일성 1,534360,이항구,이가서,"8,550",null,null, 2005년 1월,한국
10064,눈보라의 운하.기행문,508663,서정자,푸른사상,"19,800",null,null, 2004년 6월,한국
10066,길없는 사람들 1,425489,김정현,문이당,"7,650",null,null, 2003년 8월,한국
10067,탄,418896,이윤희,명솔출판,"21,600",1,3, 2003년 5월,한국
10068,유혹의 형식,397800,엄창석,책세상,"6,300",1,4, 2003년 1월,한국
10069,김진명 장편소설 - 전13권 세트,397158,김진명,해냄,"87,750",2,5, 2003년 1월,한국
10070,해바라기,383274,지현,대현문화사,"7,200",1,3, 2002년 11월,한국
10071,활빈도 1,268196,김주영,문이당,"7,200",null,null, 2001년 3월,한국
10072,화척 1,233425,김주영,문이당,"7,200",3,4.5, 2000년 5월,한국
10073,이솝이 죽기 전에 빠뜨리고 간 이야기,219647,김현태,지원북클럽(하얀풍차),"5,850",1,4, 2000년 1월,한국
10074,한국 대표단편 57인 선집,203830,김원우,프레스21,"16,200",null,null, 1999년 8월,한국
10075,내 안의 자유,190039,채지민,사계절,"5,400",null,null, 1999년 4월,한국
10076,웃는 얼굴이 슬퍼보이는 사람이 있다,187346,김무경,너와나미디어,"5,400",null,null, 1999년 4월,한국
10078,사랑아 길을 묻는다,67789,김원일,문이당,"7,200",2,4, 1998년 7월,한국
10079,빛의 바다 -상,66421,김영종,사계절,"6,300",null,null, 1998년 6월,한국
10080,빛의 바다 -하,66422,김영종,사계절,"6,300",null,null, 1998년 6월,한국
10081,연암 박지원의 새 열하일기,73177,이재운,명지사,"6,650",null,null, 1997년 9월,한국
10082,다산 정약용의 새 목민심서,34742,이재운,명지사,"6,300",null,null, 1997년 8월,한국
10084,반쪽의 고향,57415,이상금,샘터사,"6,300",1,4, 1996년 7월,한국
10087,사랑손님과 어머니 외,67776,주요섭,하서출판사,"4,950",null,null, 1994년 3월,한국
10088,어른을 위한 새빨간 거짓말,98268,국수경,백암,"7,500",null,null, 1993년 2월,한국
10089,불타는 여인 -상,64642,김성종,추리문학사,"5,850",2,3, 1990년 1월,한국
10090,AI시대에 만나는 훈민정음,284663389,김옥주,인간과자연사,"12,350",null,null, 2021년 12월,한국
10091,내 손안에 있소이다,282035471,신동규,신아출판사(SINA),"11,700",null,null, 2021년 11월,한국
10092,아버지의 초상肖像,283746500,이강산,천년의시작,"13,500",null,null, 2021년 11월,한국
10093,당신의 대한민국,253610388,김주해,GDN BOOK,"13,050",1,5, 2020년 8월,한국
